Time,Current
30.706429,11.692866,9.758038
30.719508,11.810616,8.767815
30.730401,11.908014,9.535610
30.741584,12.006866,8.995691
30.758431,12.155870,9.097019
30.765491,12.218380,10.319103
30.790918,12.440069,8.030403
30.801485,12.530926,8.750662
30.809476,12.599250,7.209938
30.819777,12.685745,8.109923
30.830231,12.772241,8.257334
30.840917,12.861644,8.246795
30.851084,12.945958,7.404578
30.861317,13.031000,8.081744
30.873624,13.132759,8.180662
30.882227,13.204718,8.337847
30.893697,13.297755,8.131471
30.915646,13.469292,7.440582
30.922381,13.520171,7.566447
30.935418,13.618296,7.468295
30.943260,13.675718,7.334529
30.956456,13.769481,7.038875
30.965900,13.834171,7.249489
30.985678,13.969366,6.671426
30.995249,14.033329,6.701412
31.000414,14.068218,6.749640
31.009893,14.130727,6.609998
31.023509,14.219403,6.689847
31.030215,14.263014,6.299908
31.038522,14.313894,6.079263
31.049010,14.378583,6.044506
31.057994,14.433097,6.020724
31.068413,14.495606,6.016363
31.078935,14.557389,5.894987
31.089232,14.616264,5.499683
31.100227,14.676593,5.475344
31.111175,14.735468,5.296789
31.121526,14.789981,5.169643
31.135437,14.861940,5.163217
31.142473,14.897556,5.035780
31.157461,14.972421,5.708634
31.167416,15.021120,4.777598
31.183159,15.095986,4.711404
31.186876,15.113431,4.609445
31.198471,15.167218,4.573193
31.207026,15.205741,4.699220
31.217226,15.252259,4.475344
31.227602,15.298051,4.411847
31.238021,15.343116,4.333270
31.248424,15.388181,4.190254
31.258830,15.431065,4.066588
31.268013,15.468861,4.017976
31.278408,15.510292,3.901251
31.288175,15.548088,3.738469
31.298657,15.585884,3.558638
31.308559,15.620046,3.448268
31.319210,15.657116,3.416661
31.329061,15.690551,3.258877
31.339618,15.723986,2.613987
31.355884,15.774866,3.076133
31.361255,15.790856,2.995937
31.372668,15.823565,2.830420
31.381816,15.849005,2.732397
31.396404,15.888255,2.682358
31.405070,15.910787,2.552148
31.418774,15.945676,2.493595
31.427277,15.966028,2.428405
31.437394,15.990014,2.335642
31.447362,16.013273,2.277640
31.458697,16.037986,2.212976
31.467748,16.057611,2.127553
31.478206,16.079417,2.051805
31.488208,16.099042,1.996709
31.505409,16.133204,1.906309
31.507707,16.137565,2.010238
31.518934,16.160824,2.106359
31.530103,16.183356,2.038641
31.539519,16.202255,1.972996
31.562358,16.246593,1.874416
31.567605,16.256769,1.958312
31.579412,16.279301,1.920856
31.588943,16.296745,1.869956
31.600038,16.317097,1.798693
31.614154,16.341810,1.711297
31.619656,16.351259,1.643810
31.628923,16.365796,1.583598
31.639554,16.381060,1.294684
31.649895,16.394870,1.654521
31.660670,16.405046,0.697672
31.672010,16.415949,0.901424
31.681225,16.424671,0.935459
31.693762,16.432667,0.738868
31.701087,16.437028,0.597053
31.717313,16.445023,0.437612
31.726143,16.447931,0.360441
31.737655,16.450838,0.294930
31.750156,16.453019,0.198140
31.762939,16.453745,0.133277
31.780012,16.453745,0.133277
31.798331,16.451565,0.000000
31.800416,16.451565,0.000000
31.810759,16.450111,-0.055334
31.821028,16.448657,-0.132644
31.833888,16.446477,-0.170084
31.840917,16.445023,-0.184128
31.852324,16.442843,-0.188662
31.861389,16.441389,-0.187526
31.871245,16.439935,-0.178400
31.880738,16.438481,-0.166012
31.891183,16.437028,-0.151139
31.901342,16.436301,-0.140865
31.915472,16.434847,-0.105739
31.921418,16.434120,-0.091751
31.938452,16.433394,-0.080839
31.944493,16.432667,-0.079053
31.979588,16.431940,-0.066974
31.989565,16.431940,-0.066974
31.992965,16.431940,-0.066974
32.002488,16.431940,-0.066974
32.013653,16.431940,-0.066974
32.022005,16.432667,-0.066974
32.032812,16.432667,-0.066974
32.041942,16.432667,-0.066974
32.054457,16.433394,-0.010889
32.061581,16.433394,-0.010889
32.072904,16.433394,-0.010889
32.081874,16.433394,-0.010889
32.092572,16.434120,0.000000
32.101494,16.433394,0.000000
32.122180,16.433394,0.000000
32.132594,16.433394,0.000000
32.143036,16.433394,0.000000
32.150267,16.433394,0.000000
32.164453,16.433394,0.000000
32.187513,16.433394,0.000000
32.191427,16.433394,0.000000
